epsilon,N,k2,k1,data_duplication,store_complexity
0.05,2500,72,2,34.72222222222222,3651.6203703703704
0.05,2500,71,2,35.2112676056338,3754.711366792303
0.05,2500,70,2,35.714285714285715,3862.2448979591836
0.05,2500,69,2,36.231884057971016,3974.4801512287336
0.05,2500,68,2,36.76470588235294,4091.695501730104
0.05,2500,67,2,37.3134328358209,4214.190242815772
0.05,2500,66,2,37.878787878787875,4342.286501377411
0.05,2500,65,2,38.46153846153846,4476.331360946745
0.05,2500,64,2,39.0625,4616.69921875
0.05,2500,63,2,39.682539682539684,4763.794406651549
0.05,2500,62,2,40.32258064516129,4918.054110301769
0.05,2500,61,2,40.98360655737705,5079.951625907014
0.05,2500,60,2,41.666666666666664,5250.0
0.05,2500,59,2,42.3728813559322,5428.756104567653
0.05,2500,58,2,43.10344827586207,5616.825208085613
0.05,2500,57,2,43.85964912280702,5814.8661126500465
0.05,2500,56,2,44.642857142857146,6023.59693877551
0.05,2500,55,2,45.45454545454545,6243.801652892562
0.05,2500,54,2,46.2962962962963,6476.337448559671
0.05,2500,53,2,47.16981132075472,6722.143111427555
0.05,2500,52,2,48.07692307692308,6982.248520710059
0.05,2500,51,3,49.01960784313726,4838.523644752018
0.05,2500,50,3,50.0,5033.333333333333
0.05,2500,49,3,51.02040816326531,5240.177703734555
0.05,2500,48,3,52.083333333333336,5460.069444444445
0.05,2500,47,3,53.191489361702125,5694.130073939943
0.05,2500,46,3,54.34782608695652,5943.604284814115
0.05,2500,45,3,55.55555555555556,6209.876543209877
0.05,2500,44,3,56.81818181818182,6494.490358126722
0.05,2500,43,3,58.13953488372093,6799.170722913287
0.05,2500,42,3,59.523809523809526,7125.850340136055
0.05,2500,41,3,60.97560975609756,7476.700376759865
0.05,2500,40,3,62.5,7854.166666666667
0.05,2500,39,3,64.1025641025641,8261.012491781723
0.05,2500,38,3,65.78947368421052,8700.369344413666
0.05,2500,37,3,67.56756756756756,9175.797419040662
0.05,2500,36,3,69.44444444444444,9691.358024691357
0.05,2500,35,3,71.42857142857143,10251.70068027211
0.05,2500,34,3,73.52941176470588,10862.168396770474
0.05,2500,33,3,75.75757575757575,11528.925619834712
0.05,2500,32,3,78.125,12259.114583333334
0.05,2500,31,3,80.64516129032258,13061.047519944503
0.05,2500,30,3,83.33333333333333,13944.444444444443
0.05,2500,29,3,86.20689655172414,14920.72929052715
0.05,2500,28,3,89.28571428571429,16003.401360544218
0.05,2500,27,3,92.5925925925926,17208.50480109739
0.05,2500,26,3,96.15384615384616,18555.226824457593
0.05,2500,25,3,100.0,20066.666666666668
0.05,2500,24,3,104.16666666666667,21770.833333333336
0.05,2500,23,3,108.69565217391305,23701.95337114052
0.05,2500,22,3,113.63636363636364,25902.20385674931
0.05,2500,21,3,119.04761904761905,28424.03628117914
0.05,2500,20,3,125.0,31333.333333333332
0.05,2500,19,3,131.57894736842104,34713.758079409046
0.05,2500,18,3,138.88888888888889,38672.83950617284
0.05,2500,17,3,147.05882352941177,43350.634371395616
0.05,2500,16,3,156.25,48932.291666666664
0.05,2500,15,3,166.66666666666666,55666.666666666664
0.05,2500,14,3,178.57142857142858,63894.55782312925
0.05,2500,13,3,192.30769230769232,74092.70216962525
0.05,2500,12,3,208.33333333333334,86944.44444444445
0.05,2500,11,3,227.27272727272728,103457.30027548209
0.05,2500,10,3,250.0,125166.66666666667
0.05,2500,9,3,277.77777777777777,154506.17283950618
0.05,2500,8,3,312.5,195520.83333333334
0.05,2500,7,3,357.14285714285717,255340.13605442178
0.05,2500,6,3,416.6666666666667,347500.0
0.05,2500,5,3,500.0,500333.3333333333
0.05,2500,4,3,625.0,781666.6666666666
0.05,2500,3,3,833.3333333333334,1389444.4444444445
0.05,2500,2,3,1250.0,3125833.3333333335
0.05,2500,1,3,2500.0,12501666.666666666
