k,epsilon,N,k2,k1,data_duplication,store_complexity
16,0.05,5000,50,5,6.25,790.0
16,0.05,5000,49,5,6.377551020408164,821.740941274469
16,0.05,5000,48,5,6.510416666666667,855.46875
16,0.05,5000,47,6,6.648936170212766,742.7946280368191
16,0.05,5000,46,6,6.793478260869565,774.653434152489
16,0.05,5000,45,6,6.944444444444445,808.641975308642
16,0.05,5000,44,6,7.1022727272727275,844.9552341597796
16,0.05,5000,43,6,7.267441860465116,883.8110690463313
16,0.05,5000,42,6,7.440476190476191,925.453514739229
16,0.05,5000,41,6,7.621951219512195,970.15665278604
16,0.05,5000,40,6,7.8125,1018.2291666666666
16,0.05,5000,39,6,8.012820512820513,1070.0197238658777
16,0.05,5000,38,6,8.223684210526315,1125.9233610341644
16,0.05,5000,37,6,8.445945945945946,1186.3890917944973
16,0.05,5000,36,6,8.680555555555555,1251.929012345679
16,0.05,5000,35,6,8.928571428571429,1323.1292517006805
16,0.05,5000,34,6,9.191176470588236,1400.6632064590542
16,0.05,5000,33,6,9.469696969696969,1485.3076216712582
16,0.05,5000,32,6,9.765625,1577.9622395833333
16,0.05,5000,31,6,10.080645161290322,1679.673950745751
16,0.05,5000,30,6,10.416666666666666,1791.6666666666667
16,0.05,5000,29,6,10.775862068965518,1915.3785176377328
16,0.05,5000,28,6,11.160714285714286,2052.5085034013605
16,0.05,5000,27,6,11.574074074074074,2205.0754458161864
16,0.05,5000,26,6,12.01923076923077,2375.493096646943
16,0.05,5000,25,6,12.5,2566.6666666666665
16,0.05,5000,24,6,13.020833333333334,2782.1180555555557
16,0.05,5000,23,6,13.58695652173913,3026.149968494014
16,0.05,5000,22,6,14.204545454545455,3304.0633608815424
16,0.05,5000,21,6,14.880952380952381,3622.448979591837
16,0.05,5000,20,6,15.625,3989.5833333333335
16,0.05,5000,19,6,16.44736842105263,4415.974145891044
16,0.05,5000,18,6,17.36111111111111,4915.123456790123
16,0.05,5000,17,7,18.38235294117647,4718.24023727138
16,0.05,5000,16,7,19.53125,5320.870535714286
16,0.05,5000,15,7,20.833333333333332,6047.619047619048
16,0.05,5000,14,7,22.321428571428573,6935.131195335277
16,0.05,5000,13,7,24.03846153846154,8034.657650042265
16,0.05,5000,12,7,26.041666666666668,9419.642857142857
16,0.05,5000,11,7,28.40909090909091,11198.347107438018
16,0.05,5000,10,7,31.25,13535.714285714286
16,0.05,5000,9,7,34.72222222222222,16693.121693121695
16,0.05,5000,8,7,39.0625,21104.910714285714
16,0.05,5000,7,7,44.642857142857146,27536.443148688046
16,0.05,5000,6,7,52.083333333333336,37440.47619047619
16,0.05,5000,5,7,62.5,53857.142857142855
16,0.05,5000,4,7,78.125,84062.5
16,0.05,5000,3,7,104.16666666666667,149285.7142857143
16,0.05,5000,2,7,156.25,335535.7142857143
16,0.05,5000,1,7,312.5,1340714.2857142857
