k,epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
8,0.1,2500,30,5,10.416666666666666,640888.8888888889,16049.305555555555,91916.66666666666
8,0.1,2500,29,5,10.775862068965518,685184.3043995245,16800.906658739597,94174.97027348395
8,0.1,2500,28,6,11.160714285714286,611904.761904762,15400.191326530614,88334.52380952382
8,0.1,2500,27,6,11.574074074074074,657430.2697759487,16174.697073616826,91096.50205761316
8,0.1,2500,26,6,12.01923076923077,708284.0236686391,17025.086291913216,94168.73767258383
8,0.1,2500,25,6,12.5,765333.3333333334,17962.5,97600.66666666666
8,0.1,2500,24,6,13.020833333333334,829629.6296296297,19000.289351851854,101452.08333333333
8,0.1,2500,23,6,13.58695652173913,902457.4669187146,20154.576244486452,105795.872715816
8,0.1,2500,22,6,14.204545454545455,985399.4490358128,21444.989669421488,110721.62534435262
8,0.1,2500,21,6,14.880952380952381,1080423.2804232806,22895.64436885866,116340.47619047618
8,0.1,2500,20,6,15.625,1189999.9999999998,24536.458333333332,122791.66666666666
8,0.1,2500,19,6,16.44736842105263,1317266.8513388734,26404.951523545707,130251.56971375807
8,0.1,2500,18,6,17.36111111111111,1466255.1440329219,28548.739711934155,138946.2962962963
8,0.1,2500,17,6,18.38235294117647,1642214.5328719725,31029.051326412922,149169.60784313726
8,0.1,2500,16,6,19.53125,1852083.3333333335,33925.78125,161308.85416666666
8,0.1,2500,15,6,20.833333333333332,2105185.185185185,37344.9074074074,175883.33333333334
8,0.1,2500,14,6,22.321428571428573,2414285.714285715,41429.6343537415,193602.38095238095
8,0.1,2500,13,6,24.03846153846154,2797238.6587771205,46377.58875739646,215455.71992110452
8,0.1,2500,12,6,26.041666666666668,3279629.6296296297,52468.1712962963,242858.3333333333
8,0.1,2500,11,6,28.40909090909091,3899173.5537190083,60107.61019283747,277891.0468319559
8,0.1,2500,10,7,31.25,4040000.0000000005,61638.39285714286,317764.28571428574
8,0.1,2500,9,7,34.72222222222222,4982716.0493827155,72896.27425044091,379382.8042328043
8,0.1,2500,8,7,39.0625,6300000.000000001,88208.70535714287,465083.03571428574
8,0.1,2500,7,7,44.642857142857146,8220408.163265307,109920.73615160352,589435.7142857142
8,0.1,2500,6,7,52.083333333333336,11177777.777777778,142413.19444444444,780030.9523809523
8,0.1,2500,5,7,62.5,16080000.000000002,194705.35714285716,1094464.2857142857
8,0.1,2500,4,7,78.125,25100000.000000004,288024.55357142864,1670239.2857142857
8,0.1,2500,3,7,104.16666666666667,44577777.77777778,483239.08730158734,2907530.9523809524
8,0.1,2500,2,7,156.25,100200000.00000001,1022477.6785714286,6423364.285714285
8,0.1,2500,1,7,312.5,400400000.00000006,3830669.642857143,25300864.285714287
